case_id,task_id,event_label,resource,start_time,completion_time
23,41,W_Complete application,User_109,2020-01-01 03:33:49.377050,2020-01-01 03:42:44.419051
1,58,W_Validate application,User_144,2020-01-01 03:38:07.869251,2020-01-01 03:44:00.255623
25,43,W_Complete application,User_109,2020-01-01 03:42:44.419051,2020-01-01 03:48:10.718931
12,61,W_Validate application,User_144,2020-01-01 03:44:00.255623,2020-01-01 03:53:30.926081
27,45,W_Complete application,User_109,2020-01-01 03:48:10.718931,2020-01-01 03:58:55.572295
20,63,W_Complete application,User_144,2020-01-01 03:53:30.926081,2020-01-01 04:04:04.313448
10,48,W_Complete application,User_109,2020-01-01 03:58:55.572295,2020-01-01 04:09:10.490266
20,97,W_Call after offers,User_132,2020-01-01 04:04:04.313448,2020-01-01 04:10:56.372062
11,50,W_Complete application,User_109,2020-01-01 04:09:10.490266,2020-01-01 04:11:30.043558
16,66,W_Complete application,User_144,2020-01-01 04:04:04.313448,2020-01-01 04:14:57.864355
30,51,W_Complete application,User_109,2020-01-01 04:11:30.043558,2020-01-01 04:19:19.729269
4,69,W_Complete application,User_144,2020-01-01 04:14:57.864355,2020-01-01 04:22:55.304054
32,53,W_Complete application,User_109,2020-01-01 04:19:19.729269,2020-01-01 04:28:13.086786
13,57,W_Call after offers,User_109,2020-01-01 04:28:13.086786,2020-01-01 04:29:06.404945
3,60,W_Complete application,User_109,2020-01-01 04:29:06.404945,2020-01-01 04:34:00.276616
34,55,W_Complete application,User_144,2020-01-01 04:22:55.304054,2020-01-01 04:36:24.358955
32,109,W_Call after offers,User_132,2020-01-01 04:28:13.086786,2020-01-01 04:37:55.021992
32,114,W_Call after offers,User_132,2020-01-01 04:37:55.021992,2020-01-01 04:38:49.550989
18,62,W_Validate application,User_109,2020-01-01 04:34:00.276616,2020-01-01 04:39:59.473130
15,65,W_Validate application,User_109,2020-01-01 04:39:59.473130,2020-01-01 04:46:41.326317
36,74,W_Complete application,User_144,2020-01-01 04:36:24.358955,2020-01-01 04:46:44.390120
26,78,W_Call after offers,User_144,2020-01-01 04:46:44.390120,2020-01-01 04:54:52.948543
22,68,W_Validate application,User_109,2020-01-01 04:46:41.326317,2020-01-01 04:55:09.364707
24,70,W_Complete application,User_109,2020-01-01 04:55:09.364707,2020-01-01 05:00:20.742973
28,80,W_Call after offers,User_144,2020-01-01 04:54:52.948543,2020-01-01 05:01:32.736610
0,71,W_Call incomplete files,User_109,2020-01-01 05:00:20.742973,2020-01-01 05:01:49.437268
2,72,W_Call incomplete files,User_109,2020-01-01 05:01:49.437268,2020-01-01 05:03:43.541252
8,83,W_Call after offers,User_144,2020-01-01 05:01:32.736610,2020-01-01 05:10:05.539273
53,132,W_Call after offers,User_132,2020-01-01 05:04:17.670939,2020-01-01 05:11:25.229977
53,136,W_Call after offers,User_132,2020-01-01 05:11:25.229977,2020-01-01 05:12:36.875810
35,73,W_Complete application,User_109,2020-01-01 05:03:43.541252,2020-01-01 05:18:34.424110
17,86,W_Call after offers,User_144,2020-01-01 05:10:05.539273,2020-01-01 05:19:05.941285
37,75,W_Complete application,User_109,2020-01-01 05:18:34.424110,2020-01-01 05:23:33.204266
19,88,W_Complete application,User_144,2020-01-01 05:19:05.941285,2020-01-01 05:28:47.437888
6,79,W_Complete application,User_109,2020-01-01 05:23:33.204266,2020-01-01 05:29:40.048939
7,82,W_Call after offers,User_109,2020-01-01 05:29:40.048939,2020-01-01 05:32:07.194932
7,143,W_Call after offers,User_132,2020-01-01 05:32:07.194932,2020-01-01 05:33:01.408914
9,85,W_Validate application,User_109,2020-01-01 05:32:07.194932,2020-01-01 05:35:17.863209
21,90,W_Complete application,User_144,2020-01-01 05:28:47.437888,2020-01-01 05:36:06.055831
23,92,W_Complete application,User_144,2020-01-01 05:36:06.055831,2020-01-01 05:41:34.408549
29,87,W_Complete application,User_109,2020-01-01 05:35:17.863209,2020-01-01 05:45:06.190309
25,94,W_Call after offers,User_144,2020-01-01 05:41:34.408549,2020-01-01 05:48:05.931328
31,89,W_Complete application,User_109,2020-01-01 05:45:06.190309,2020-01-01 05:53:37.004905
27,96,W_Call after offers,User_144,2020-01-01 05:48:05.931328,2020-01-01 05:56:42.844684
33,91,W_Complete application,User_109,2020-01-01 05:53:37.004905,2020-01-01 06:03:32.303105
31,150,W_Call after offers,User_132,2020-01-01 05:53:37.004905,2020-01-01 06:03:46.646166
1,93,W_Call incomplete files,User_109,2020-01-01 06:03:32.303105,2020-01-01 06:04:28.758801
39,77,W_Complete application,User_144,2020-01-01 05:56:42.844684,2020-01-01 06:06:06.375029
20,102,W_Call after offers,User_144,2020-01-01 06:06:06.375029,2020-01-01 06:09:06.268573
20,155,W_Call after offers,User_132,2020-01-01 06:09:06.268573,2020-01-01 06:10:02.704620
42,101,W_Assess potential fraud,User_144,2020-01-01 06:09:06.268573,2020-01-01 06:11:25.056845
16,106,W_Call after offers,User_144,2020-01-01 06:11:25.056845,2020-01-01 06:18:49.931737
12,95,W_Validate application,User_109,2020-01-01 06:04:28.758801,2020-01-01 06:19:22.696788
10,98,W_Call after offers,User_109,2020-01-01 06:19:22.696788,2020-01-01 06:22:37.388298
10,163,W_Call after offers,User_132,2020-01-01 06:22:37.388298,2020-01-01 06:24:15.237971
40,99,W_Complete application,User_109,2020-01-01 06:22:37.388298,2020-01-01 06:33:38.040470
11,103,W_Complete application,User_109,2020-01-01 06:33:38.040470,2020-01-01 06:35:01.872739
40,169,W_Call after offers,User_132,2020-01-01 06:33:38.040470,2020-01-01 06:40:24.990073
43,104,W_Complete application,User_109,2020-01-01 06:35:01.872739,2020-01-01 06:40:25.592596
4,108,W_Call after offers,User_144,2020-01-01 06:18:49.931737,2020-01-01 06:45:23.782391
30,107,W_Complete application,User_109,2020-01-01 06:40:25.592596,2020-01-01 06:49:08.724338
13,110,W_Validate application,User_109,2020-01-01 06:49:08.724338,2020-01-01 06:50:57.013233
30,174,W_Call after offers,User_132,2020-01-01 06:49:08.724338,2020-01-01 06:53:48.903998
3,111,W_Call after offers,User_144,2020-01-01 06:45:23.782391,2020-01-01 07:02:26.733225
34,112,W_Complete application,User_109,2020-01-01 06:50:57.013233,2020-01-01 07:05:13.887341
32,115,W_Call after offers,User_109,2020-01-01 07:05:13.887341,2020-01-01 07:06:42.982945
45,113,W_Complete application,User_109,2020-01-01 07:06:42.982945,2020-01-01 07:18:18.403727
47,118,W_Complete application,User_109,2020-01-01 07:18:18.403727,2020-01-01 07:27:43.378076
49,120,W_Complete application,User_109,2020-01-01 07:27:43.378076,2020-01-01 07:36:01.854452
15,123,W_Validate application,User_109,2020-01-01 07:36:01.854452,2020-01-01 07:53:03.393053
26,125,W_Validate application,User_109,2020-01-01 07:53:03.393053,2020-01-01 08:00:04.038029
22,126,W_Call incomplete files,User_109,2020-01-01 08:00:04.038029,2020-01-01 08:01:14.161281
51,122,W_Complete application,User_109,2020-01-01 08:01:14.161281,2020-01-01 08:11:39.298075
0,130,W_Call incomplete files,User_109,2020-01-01 08:11:39.298075,2020-01-01 08:12:37.406547
2,131,W_Call incomplete files,User_109,2020-01-01 08:12:37.406547,2020-01-01 08:14:32.943052
54,133,W_Complete application,User_109,2020-01-01 08:14:32.943052,2020-01-01 08:23:51.658519
53,137,W_Validate application,User_109,2020-01-01 08:23:51.658519,2020-01-01 08:33:59.148476
17,139,W_Validate application,User_109,2020-01-01 08:33:59.148476,2020-01-01 08:39:19.497229
19,141,W_Complete application,User_109,2020-01-01 08:39:19.497229,2020-01-01 08:46:35.272104
7,144,W_Call after offers,User_109,2020-01-01 08:46:35.272104,2020-01-01 08:47:43.825457
21,146,W_Complete application,User_109,2020-01-01 08:47:43.825457,2020-01-01 08:57:25.980442
29,148,W_Complete application,User_109,2020-01-01 08:57:25.980442,2020-01-01 09:04:54.155900
33,151,W_Complete application,User_109,2020-01-01 09:04:54.155900,2020-01-01 09:15:09.899633
1,153,W_Validate application,User_109,2020-01-01 09:15:09.899633,2020-01-01 09:28:07.870940
20,156,W_Call after offers,User_109,2020-01-01 09:28:07.870940,2020-01-01 09:30:45.976942
57,158,W_Complete application,User_109,2020-01-01 09:30:45.976942,2020-01-01 09:38:42.301978
10,164,W_Validate application,User_109,2020-01-01 09:38:42.301978,2020-01-01 09:44:39.817508
60,165,W_Complete application,User_109,2020-01-01 09:44:39.817508,2020-01-01 09:53:26.117331
11,170,W_Complete application,User_109,2020-01-01 09:53:26.117331,2020-01-01 09:55:05.706331
43,172,W_Complete application,User_109,2020-01-01 09:55:05.706331,2020-01-01 10:00:40.709149
30,175,W_Validate application,User_109,2020-01-01 10:00:40.709149,2020-01-01 10:05:09.056025
44,105,W_Complete application,User_109,2020-01-01 10:05:09.056025,2020-01-01 10:11:37.298132
18,116,W_Validate application,User_109,2020-01-01 10:11:37.298132,2020-01-01 10:19:54.687669
46,117,W_Complete application,User_109,2020-01-01 10:19:54.687669,2020-01-01 10:24:58.429674
48,119,W_Complete application,User_109,2020-01-01 10:24:58.429674,2020-01-01 10:36:19.999243
50,121,W_Complete application,User_109,2020-01-01 10:36:19.999243,2020-01-01 10:41:12.478473
36,124,W_Call after offers,User_109,2020-01-01 10:41:12.478473,2020-01-01 10:43:12.640118
24,127,W_Call after offers,User_109,2020-01-01 10:43:12.640118,2020-01-01 10:44:46.558617
28,129,W_Call after offers,User_109,2020-01-01 10:44:46.558617,2020-01-01 10:45:55.381724
52,128,W_Complete application,User_109,2020-01-01 10:45:55.381724,2020-01-01 10:56:25.092568
55,134,W_Complete application,User_109,2020-01-01 10:56:25.092568,2020-01-01 11:04:57.425561
35,138,W_Call after offers,User_109,2020-01-01 11:04:57.425561,2020-01-01 11:07:32.397689
37,140,W_Complete application,User_109,2020-01-01 11:07:32.397689,2020-01-01 11:11:33.019752
6,142,W_Call after offers,User_109,2020-01-01 11:11:33.019752,2020-01-01 11:13:03.234248
9,145,W_Validate application,User_109,2020-01-01 11:13:03.234248,2020-01-01 11:19:50.708474
23,147,W_Call after offers,User_109,2020-01-01 11:19:50.708474,2020-01-01 11:21:24.234354
25,149,W_Call after offers,User_109,2020-01-01 11:21:24.234354,2020-01-01 11:22:17.994826
31,152,W_Validate application,User_109,2020-01-01 11:22:17.994826,2020-01-01 11:26:04.651113
39,154,W_Complete application,User_109,2020-01-01 11:26:04.651113,2020-01-01 11:31:47.185423
16,161,W_Call after offers,User_109,2020-01-01 11:31:47.185423,2020-01-01 11:32:46.932774
59,160,W_Complete application,User_109,2020-01-01 11:32:46.932774,2020-01-01 11:40:56.333320
62,167,W_Call after offers,User_109,2020-01-01 11:40:56.333320,2020-01-01 11:42:26.256654
40,171,W_Call after offers,User_109,2020-01-01 11:42:26.256654,2020-01-01 11:44:35.680781
4,173,W_Validate application,User_109,2020-01-01 11:44:35.680781,2020-01-01 11:50:05.025005
3,176,W_Validate application,User_109,2020-01-01 11:50:05.025005,2020-01-01 11:53:32.150306
34,177,W_Call after offers,User_109,2020-01-01 11:53:32.150306,2020-01-01 11:55:13.057678
32,178,W_Call after offers,User_109,2020-01-01 11:55:13.057678,2020-01-01 11:56:10.923208
63,168,W_Complete application,User_109,2020-01-01 11:56:10.923208,2020-01-01 12:07:36.258512
64,179,W_Complete application,User_109,2020-01-01 12:07:36.258512,2020-01-01 12:15:26.074492
65,180,W_Complete application,User_109,2020-01-01 12:15:26.074492,2020-01-01 12:24:32.597681
67,182,W_Complete application,User_109,2020-01-01 12:24:32.597681,2020-01-01 12:31:39.029574
68,183,W_Complete application,User_109,2020-01-01 12:31:39.029574,2020-01-01 12:40:42.132089
69,184,W_Complete application,User_109,2020-01-01 12:40:42.132089,2020-01-01 12:49:12.289734
45,186,W_Call after offers,User_109,2020-01-01 12:49:12.289734,2020-01-01 12:50:58.696077
70,185,W_Complete application,User_109,2020-01-01 12:50:58.696077,2020-01-01 13:04:13.991475
71,187,W_Complete application,User_109,2020-01-01 13:04:13.991475,2020-01-01 13:09:19.369888
72,188,W_Complete application,User_109,2020-01-01 13:09:19.369888,2020-01-01 13:23:03.187315
74,190,W_Call after offers,User_109,2020-01-01 13:23:03.187315,2020-01-01 13:24:06.159123
75,191,W_Complete application,User_109,2020-01-01 13:24:06.159123,2020-01-01 13:30:42.790328
76,192,W_Complete application,User_109,2020-01-01 13:30:42.790328,2020-01-01 13:42:39.085594
47,194,W_Call after offers,User_109,2020-01-01 13:42:39.085594,2020-01-01 13:47:02.140406
77,193,W_Complete application,User_109,2020-01-01 13:47:02.140406,2020-01-01 13:51:57.025853
49,196,W_Complete application,User_109,2020-01-01 13:51:57.025853,2020-01-01 14:00:45.710173
51,197,W_Call after offers,User_109,2020-01-01 14:00:45.710173,2020-01-01 14:05:09.223462
0,198,W_Validate application,User_109,2020-01-01 14:05:09.223462,2020-01-01 14:05:46.927641
2,199,W_Call incomplete files,User_109,2020-01-01 14:05:46.927641,2020-01-01 14:07:25.939425
54,200,W_Call after offers,User_109,2020-01-01 14:07:25.939425,2020-01-01 14:08:59.528571
17,201,W_Validate application,User_109,2020-01-01 14:08:59.528571,2020-01-01 14:25:32.423321
19,202,W_Call after offers,User_109,2020-01-01 14:25:32.423321,2020-01-01 14:26:56.883545
7,203,W_Validate application,User_109,2020-01-01 14:26:56.883545,2020-01-01 14:31:36.104458
21,204,W_Complete application,User_109,2020-01-01 14:31:36.104458,2020-01-01 14:41:01.061865
29,205,W_Call after offers,User_109,2020-01-01 14:41:01.061865,2020-01-01 14:43:35.402855
33,206,W_Call after offers,User_109,2020-01-01 14:43:35.402855,2020-01-01 14:45:08.294652
1,207,W_Call incomplete files,User_109,2020-01-01 14:45:08.294652,2020-01-01 14:46:01.283710
20,208,W_Call after offers,User_109,2020-01-01 14:46:01.283710,2020-01-01 14:48:01.345204
57,209,W_Call after offers,User_109,2020-01-01 14:48:01.345204,2020-01-01 14:49:40.770576
10,210,W_Call incomplete files,User_109,2020-01-01 14:49:40.770576,2020-01-01 14:52:25.098279
60,211,W_Call after offers,User_109,2020-01-01 14:52:25.098279,2020-01-01 14:53:44.356016
11,212,W_Complete application,User_109,2020-01-01 14:53:44.356016,2020-01-01 14:58:05.591771
43,213,W_Complete application,User_109,2020-01-01 14:58:05.591771,2020-01-01 15:01:48.928667
44,214,W_Complete application,User_109,2020-01-01 15:01:48.928667,2020-01-01 15:08:41.470173
18,215,W_Call incomplete files,User_109,2020-01-01 15:08:41.470173,2020-01-01 15:10:21.896228
46,216,W_Complete application,User_109,2020-01-01 15:10:21.896228,2020-01-01 15:12:47.433425
48,217,W_Call after offers,User_109,2020-01-01 15:12:47.433425,2020-01-01 15:15:33.137527
50,218,W_Call after offers,User_109,2020-01-01 15:15:33.137527,2020-01-01 15:16:41.347957
24,219,W_Call after offers,User_109,2020-01-01 15:16:41.347957,2020-01-01 15:17:36.970673
28,220,W_Validate application,User_109,2020-01-01 15:17:36.970673,2020-01-01 15:23:39.976455
78,195,W_Complete application,User_109,2020-01-01 15:23:39.976455,2020-01-01 15:30:56.630549
79,221,W_Complete application,User_109,2020-01-01 15:30:56.630549,2020-01-01 15:44:02.799645
52,224,W_Call after offers,User_109,2020-01-01 15:44:02.799645,2020-01-01 15:47:19.185683
55,225,W_Call after offers,User_109,2020-01-01 15:47:19.185683,2020-01-01 15:48:49.862266
35,226,W_Call after offers,User_109,2020-01-01 15:48:49.862266,2020-01-01 15:50:27.992542
37,227,W_Complete application,User_109,2020-01-01 15:50:27.992542,2020-01-01 15:53:33.455495
6,228,W_Validate application,User_109,2020-01-01 15:53:33.455495,2020-01-01 15:58:28.693851
9,229,W_Call incomplete files,User_109,2020-01-01 15:58:28.693851,2020-01-01 16:00:15.682690
23,230,W_Call after offers,User_109,2020-01-01 16:00:15.682690,2020-01-01 16:01:22.110971
25,231,W_Validate application,User_109,2020-01-01 16:01:22.110971,2020-01-01 16:04:14.867107
31,232,W_Validate application,User_109,2020-01-01 16:04:14.867107,2020-01-01 16:08:07.289431
81,223,W_Complete application,User_109,2020-01-01 16:08:07.289431,2020-01-01 16:19:10.149676
82,233,W_Complete application,User_109,2020-01-01 16:19:10.149676,2020-01-01 16:29:54.851111
83,234,W_Complete application,User_109,2020-01-01 16:29:54.851111,2020-01-01 16:36:16.997535
39,236,W_Call after offers,User_109,2020-01-01 16:36:16.997535,2020-01-01 16:37:04.024357
84,235,W_Complete application,User_109,2020-01-01 16:37:04.024357,2020-01-01 16:45:07.661608
59,238,W_Complete application,User_109,2020-01-01 16:45:07.661608,2020-01-01 16:52:35.870339
85,237,W_Complete application,User_109,2020-01-01 16:52:35.870339,2020-01-01 17:02:29.551529
62,240,W_Call after offers,User_109,2020-01-01 17:02:29.551529,2020-01-01 17:03:33.897106
86,239,W_Complete application,User_109,2020-01-01 17:03:33.897106,2020-01-01 17:11:13.230787
87,241,W_Complete application,User_109,2020-01-01 17:11:13.230787,2020-01-01 17:21:53.485486
3,243,W_Call incomplete files,User_109,2020-01-01 17:21:53.485486,2020-01-01 17:24:02.975118
34,244,W_Validate application,User_109,2020-01-01 17:24:02.975118,2020-01-01 17:27:10.162470
32,245,W_Validate application,User_109,2020-01-01 17:27:10.162470,2020-01-01 17:32:26.726426
63,246,W_Complete application,User_109,2020-01-01 17:32:26.726426,2020-01-01 17:40:55.050336
64,247,W_Complete application,User_109,2020-01-01 17:40:55.050336,2020-01-01 17:50:35.487328
65,248,W_Call after offers,User_109,2020-01-01 17:50:35.487328,2020-01-01 17:53:53.689672
67,249,W_Complete application,User_109,2020-01-01 17:53:53.689672,2020-01-01 18:03:22.239509
69,250,W_Call after offers,User_109,2020-01-01 18:03:22.239509,2020-01-01 18:05:08.833483
45,251,W_Call after offers,User_109,2020-01-01 18:05:08.833483,2020-01-01 18:06:33.682052
70,252,W_Call after offers,User_109,2020-01-01 18:06:33.682052,2020-01-01 18:08:45.966209
88,242,W_Complete application,User_109,2020-01-01 18:08:45.966209,2020-01-01 18:19:20.891187
71,254,W_Call after offers,User_109,2020-01-01 18:19:20.891187,2020-01-01 18:20:19.486626
72,255,W_Call after offers,User_109,2020-01-01 18:20:19.486626,2020-01-01 18:22:09.993479
74,256,W_Validate application,User_109,2020-01-01 18:22:09.993479,2020-01-01 18:26:51.295557
75,257,W_Complete application,User_109,2020-01-01 18:26:51.295557,2020-01-01 18:31:27.241278
76,258,W_Call after offers,User_109,2020-01-01 18:31:27.241278,2020-01-01 18:36:13.027013
77,259,W_Call after offers,User_109,2020-01-01 18:36:13.027013,2020-01-01 18:40:03.415502
49,260,W_Complete application,User_109,2020-01-01 18:40:03.415502,2020-01-01 18:48:23.416816
51,261,W_Call after offers,User_109,2020-01-01 18:48:23.416816,2020-01-01 18:51:01.850349
0,262,W_Validate application,User_109,2020-01-01 18:51:01.850349,2020-01-01 18:54:09.794245
2,263,W_Call incomplete files,User_109,2020-01-01 18:54:09.794245,2020-01-01 18:57:04.426158
89,253,W_Complete application,User_109,2020-01-01 18:57:04.426158,2020-01-01 19:05:28.541970
17,265,W_Call incomplete files,User_109,2020-01-01 19:05:28.541970,2020-01-01 19:07:45.735177
19,266,W_Call after offers,User_109,2020-01-01 19:07:45.735177,2020-01-01 19:09:12.138512
7,267,W_Validate application,User_109,2020-01-01 19:09:12.138512,2020-01-01 19:22:53.264681
21,268,W_Complete application,User_109,2020-01-01 19:22:53.264681,2020-01-01 19:31:19.481577
33,269,W_Validate application,User_109,2020-01-01 19:31:19.481577,2020-01-01 19:36:23.475213
1,270,W_Call incomplete files,User_109,2020-01-01 19:36:23.475213,2020-01-01 19:36:45.727468
20,271,W_Call after offers,User_109,2020-01-01 19:36:45.727468,2020-01-01 19:38:33.142650
57,272,W_Validate application,User_109,2020-01-01 19:38:33.142650,2020-01-01 19:44:39.585681
10,273,W_Call incomplete files,User_109,2020-01-01 19:44:39.585681,2020-01-01 19:47:10.718309
60,274,W_Call after offers,User_109,2020-01-01 19:47:10.718309,2020-01-01 19:47:43.164244
11,275,W_Complete application,User_109,2020-01-01 19:47:43.164244,2020-01-01 19:50:31.924878
43,276,W_Complete application,User_109,2020-01-01 19:50:31.924878,2020-01-01 19:54:17.655981
44,277,W_Complete application,User_109,2020-01-01 19:54:17.655981,2020-01-01 19:59:37.378756
18,278,W_Call incomplete files,User_109,2020-01-01 19:59:37.378756,2020-01-01 20:01:34.273339
46,279,W_Call after offers,User_109,2020-01-01 20:01:34.273339,2020-01-01 20:02:22.911616
48,280,W_Call after offers,User_109,2020-01-01 20:02:22.911616,2020-01-01 20:03:17.023506
28,281,W_Validate application,User_109,2020-01-01 20:03:17.023506,2020-01-01 20:07:01.443570
78,282,W_Call after offers,User_109,2020-01-01 20:07:01.443570,2020-01-01 20:08:25.334309
90,264,W_Complete application,User_109,2020-01-01 20:08:25.334309,2020-01-01 20:13:23.186676
79,284,W_Complete application,User_109,2020-01-01 20:13:23.186676,2020-01-01 20:20:56.341552
52,285,W_Call after offers,User_109,2020-01-01 20:20:56.341552,2020-01-01 20:24:04.466140
55,286,W_Validate application,User_109,2020-01-01 20:24:04.466140,2020-01-01 20:28:37.523264
35,287,W_Validate application,User_109,2020-01-01 20:28:37.523264,2020-01-01 20:32:34.724489
37,288,W_Complete application,User_109,2020-01-01 20:32:34.724489,2020-01-01 20:34:58.998810
91,283,W_Complete application,User_109,2020-01-01 20:34:58.998810,2020-01-01 20:46:09.385731
6,290,W_Call incomplete files,User_109,2020-01-01 20:46:09.385731,2020-01-01 20:47:32.575192
9,291,W_Call incomplete files,User_109,2020-01-01 20:47:32.575192,2020-01-01 20:49:20.478881
23,292,W_Call after offers,User_109,2020-01-01 20:49:20.478881,2020-01-01 20:50:28.170856
31,293,W_Validate application,User_109,2020-01-01 20:50:28.170856,2020-01-01 21:02:16.161267
81,294,W_Call after offers,User_109,2020-01-01 21:02:16.161267,2020-01-01 21:05:19.249007
82,295,W_Call after offers,User_109,2020-01-01 21:05:19.249007,2020-01-01 21:08:25.380769
83,296,W_Call after offers,User_109,2020-01-01 21:08:25.380769,2020-01-01 21:11:50.060993
39,297,W_Call after offers,User_109,2020-01-01 21:11:50.060993,2020-01-01 21:12:55.309671
84,298,W_Call after offers,User_109,2020-01-01 21:12:55.309671,2020-01-01 21:14:12.560791
59,299,W_Call after offers,User_109,2020-01-01 21:14:12.560791,2020-01-01 21:17:26.023002
92,289,W_Complete application,User_109,2020-01-01 21:17:26.023002,2020-01-01 21:28:08.122325
85,301,W_Call after offers,User_109,2020-01-01 21:28:08.122325,2020-01-01 21:34:30.652393
62,302,W_Validate application,User_109,2020-01-01 21:34:30.652393,2020-01-01 21:36:42.612827
86,303,W_Call after offers,User_109,2020-01-01 21:36:42.612827,2020-01-01 21:38:29.718833
87,304,W_Complete application,User_109,2020-01-01 21:38:29.718833,2020-01-01 21:46:17.234697
