case_id,task,resource,start_time,completion_time
13,Create Purchase Requisition,Esmana Liubiata,2020-01-05 11:01:10.138571,2020-01-05 14:47:39.557809
9,Create Purchase Requisition,Nico Ojenbeer,2020-01-05 10:26:11.287771,2020-01-05 15:05:08.939109
5,Create Request for Quotation,Clement Duchot,2020-01-05 12:20:41.514329,2020-01-05 16:03:18.396873
10,Create Purchase Requisition,Kim Passa,2020-01-05 10:26:11.287771,2020-01-05 16:51:10.471116
3,Create Request for Quotation,Alberto Duport,2020-01-05 12:18:22.963710,2020-01-05 17:42:31.733665
6,Analyze Request for Quotation,Magdalena Predutta,2020-01-05 12:58:48.553080,2020-01-05 19:12:02.723219
2,Analyze Request for Quotation,Magdalena Predutta,2020-01-05 19:12:02.723219,2020-01-06 01:45:12.914036
0,Analyze Request for Quotation,Magdalena Predutta,2020-01-06 01:45:12.914036,2020-01-06 06:50:22.316421
7,Analyze Request for Quotation,Francois de Perrier,2020-01-08 08:00:00.000000,2020-01-08 08:28:04.266569
14,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-08 08:00:00.000000,2020-01-08 08:33:13.827960
1,Analyze Request for Quotation,Karel de Groot,2020-01-08 08:00:00.000000,2020-01-08 08:38:11.993477
13,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-08 08:33:13.827960,2020-01-08 09:04:51.714146
9,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-08 09:04:51.714146,2020-01-08 09:35:12.534804
5,Analyze Request for Quotation,Karel de Groot,2020-01-08 09:04:51.714146,2020-01-08 09:38:50.121846
10,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-08 09:35:12.534804,2020-01-08 10:04:48.362379
3,Analyze Request for Quotation,Francois de Perrier,2020-01-08 09:35:12.534804,2020-01-08 10:05:46.655211
15,Create Purchase Requisition,Esmana Liubiata,2020-01-08 09:35:12.534804,2020-01-08 13:08:19.205035
16,Create Purchase Requisition,Fjodor Kowalski,2020-01-08 09:35:12.534804,2020-01-08 13:34:12.122808
6,Amend Request for Quotation,Penn Osterwalder,2020-01-08 09:35:12.534804,2020-01-08 13:41:46.745604
17,Create Purchase Requisition,Immanuel Karagianni,2020-01-08 09:35:12.534804,2020-01-08 13:42:23.042516
12,Create Request for Quotation,Anne Olwada,2020-01-08 08:00:00.000000,2020-01-08 14:15:23.322512
22,Create Purchase Requisition,Anne Olwada,2020-01-08 14:15:23.322512,2020-01-08 14:48:41.877547
23,Create Purchase Requisition,Anne Olwada,2020-01-08 14:48:41.877547,2020-01-08 15:20:26.825762
18,Create Purchase Requisition,Esmana Liubiata,2020-01-08 13:08:19.205035,2020-01-08 16:38:20.097274
19,Create Purchase Requisition,Fjodor Kowalski,2020-01-08 13:34:12.122808,2020-01-08 17:18:54.345421
21,Create Purchase Requisition,Immanuel Karagianni,2020-01-08 13:42:23.042516,2020-01-08 17:24:49.149004
2,Amend Request for Quotation,Heinz Gutschmidt,2020-01-08 13:34:12.122808,2020-01-08 17:34:47.467829
20,Create Purchase Requisition,Penn Osterwalder,2020-01-08 13:41:46.745604,2020-01-08 19:05:56.169808
24,Create Purchase Requisition,Immanuel Karagianni,2020-01-08 17:24:49.149004,2020-01-08 21:26:54.803938
25,Create Purchase Requisition,Immanuel Karagianni,2020-01-08 21:26:54.803938,2020-01-09 01:13:22.569183
5,Amend Request for Quotation,Elvira Lores,2020-01-09 08:00:00.000000,2020-01-09 08:29:43.066725
26,Create Purchase Requisition,Elvira Lores,2020-01-09 08:29:43.066725,2020-01-09 09:13:56.583358
14,Create Request for Quotation,Clement Duchot,2020-01-09 08:00:00.000000,2020-01-09 11:44:42.436949
1,Amend Request for Quotation,Kim Passa,2020-01-09 08:00:00.000000,2020-01-09 11:47:30.892273
7,Send Request for Quotation to Supplier,Karel de Groot,2020-01-09 08:00:00.000000,2020-01-09 12:11:23.407299
3,Amend Request for Quotation,Immanuel Karagianni,2020-01-09 08:00:00.000000,2020-01-09 12:36:49.298149
13,Create Request for Quotation,Alberto Duport,2020-01-09 08:00:00.000000,2020-01-09 13:22:52.627214
27,Create Purchase Requisition,Tesca Lobes,2020-01-09 09:00:00.000000,2020-01-09 15:45:30.652237
15,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-10 08:00:00.000000,2020-01-10 08:24:39.454049
6,Analyze Request for Quotation,Karel de Groot,2020-01-10 08:00:00.000000,2020-01-10 08:28:24.526983
17,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-10 08:24:39.454049,2020-01-10 08:47:29.201181
12,Analyze Request for Quotation,Francois de Perrier,2020-01-10 08:24:39.454049,2020-01-10 08:49:29.814454
22,Create Request for Quotation,Nico Ojenbeer,2020-01-10 08:24:39.454049,2020-01-10 08:51:10.728260
18,Create Request for Quotation,Kim Passa,2020-01-10 08:47:29.201181,2020-01-10 09:13:53.704319
23,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-10 08:47:29.201181,2020-01-10 09:18:32.801043
21,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-10 09:18:32.801043,2020-01-10 09:46:51.145115
2,Analyze Request for Quotation,Karel de Groot,2020-01-10 09:18:32.801043,2020-01-10 09:50:39.325471
25,Create Request for Quotation,Kim Passa,2020-01-10 09:46:51.145115,2020-01-10 10:12:10.064643
26,Create Request for Quotation,Immanuel Karagianni,2020-01-10 09:46:51.145115,2020-01-10 10:17:04.702185
20,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-10 09:46:51.145115,2020-01-10 10:17:17.209115
5,Analyze Request for Quotation,Francois de Perrier,2020-01-10 09:46:51.145115,2020-01-10 10:17:30.036437
1,Analyze Request for Quotation,Karel de Groot,2020-01-10 09:50:39.325471,2020-01-10 10:24:00.479824
7,Create Quotation comparison Map,Francois de Perrier,2020-01-10 10:17:30.036437,2020-01-10 10:42:55.940590
3,Analyze Request for Quotation,Karel de Groot,2020-01-10 10:24:00.479824,2020-01-10 10:50:28.964866
27,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-10 10:42:55.940590,2020-01-10 11:12:12.626001
13,Analyze Request for Quotation,Francois de Perrier,2020-01-10 10:42:55.940590,2020-01-10 11:17:02.500143
15,Create Request for Quotation,Heinz Gutschmidt,2020-01-10 11:12:12.626001,2020-01-10 11:39:16.490472
17,Create Request for Quotation,Heinz Gutschmidt,2020-01-10 11:39:16.490472,2020-01-10 12:14:50.697724
19,Create Request for Quotation,Elvira Lores,2020-01-10 08:47:29.201181,2020-01-10 12:46:03.096036
16,Create Request for Quotation,Anne Olwada,2020-01-10 08:00:00.000000,2020-01-10 13:15:41.753513
24,Create Request for Quotation,Christian Francois,2020-01-10 09:46:51.145115,2020-01-10 13:49:00.851244
30,Create Purchase Requisition,Fjodor Kowalski,2020-01-10 10:42:55.940590,2020-01-10 14:37:13.809872
31,Create Purchase Requisition,Immanuel Karagianni,2020-01-10 10:42:55.940590,2020-01-10 14:42:30.047779
28,Create Purchase Requisition,Nico Ojenbeer,2020-01-10 09:46:51.145115,2020-01-10 15:46:13.647886
12,Send Request for Quotation to Supplier,Francois de Perrier,2020-01-10 11:39:16.490472,2020-01-10 15:51:53.274509
29,Create Purchase Requisition,Kim Passa,2020-01-10 10:42:55.940590,2020-01-10 16:06:39.912082
22,Analyze Request for Quotation,Francois de Perrier,2020-01-10 15:51:53.274509,2020-01-10 16:24:50.443731
14,Analyze Request for Quotation,Magdalena Predutta,2020-01-10 09:46:51.145115,2020-01-10 16:24:57.935195
23,Create Request for Quotation,Kim Passa,2020-01-10 16:24:50.443731,2020-01-10 16:50:35.397317
18,Analyze Request for Quotation,Francois de Perrier,2020-01-10 16:24:50.443731,2020-01-10 16:54:57.991931
21,Create Request for Quotation,Kim Passa,2020-01-10 16:50:35.397317,2020-01-10 17:22:00.328260
25,Analyze Request for Quotation,Francois de Perrier,2020-01-10 16:54:57.991931,2020-01-10 17:25:24.245461
2,Send Request for Quotation to Supplier,Magdalena Predutta,2020-01-10 16:50:35.397317,2020-01-10 17:45:41.917104
20,Create Request for Quotation,Kim Passa,2020-01-10 17:25:24.245461,2020-01-10 17:50:54.526423
26,Analyze Request for Quotation,Francois de Perrier,2020-01-10 17:25:24.245461,2020-01-10 17:57:17.940014
7,Analyze Quotation Comparison Map,Kim Passa,2020-01-10 17:50:54.526423,2020-01-10 18:21:39.301415
5,Send Request for Quotation to Supplier,Magdalena Predutta,2020-01-10 17:45:41.917104,2020-01-10 18:52:06.607976
15,Analyze Request for Quotation,Karel de Groot,2020-01-11 08:00:00.000000,2020-01-11 08:27:42.140102
3,Amend Request for Quotation,Clement Duchot,2020-01-11 08:00:00.000000,2020-01-11 08:32:02.568973
17,Analyze Request for Quotation,Francois de Perrier,2020-01-11 08:00:00.000000,2020-01-11 08:32:08.212466
16,Analyze Request for Quotation,Karel de Groot,2020-01-11 08:27:42.140102,2020-01-11 09:01:54.389758
24,Analyze Request for Quotation,Francois de Perrier,2020-01-11 08:32:08.212466,2020-01-11 09:02:56.643876
32,Create Purchase Requisition,Clement Duchot,2020-01-11 08:32:08.212466,2020-01-11 09:32:46.495556
13,Amend Request for Quotation,Esmana Liubiata,2020-01-11 08:00:00.000000,2020-01-11 11:49:33.295276
19,Analyze Request for Quotation,Magdalena Predutta,2020-01-11 08:00:00.000000,2020-01-11 13:28:27.346686
27,Create Request for Quotation,Anne Olwada,2020-01-11 08:00:00.000000,2020-01-11 15:08:48.223473
12,Create Quotation comparison Map,Karel de Groot,2020-01-12 09:00:00.000000,2020-01-12 09:25:11.363954
28,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-12 09:00:00.000000,2020-01-12 09:28:44.199044
23,Analyze Request for Quotation,Karel de Groot,2020-01-12 09:28:44.199044,2020-01-12 09:54:24.884146
29,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-12 09:28:44.199044,2020-01-12 09:54:47.640053
22,Amend Request for Quotation,Anne Olwada,2020-01-12 09:28:44.199044,2020-01-12 10:27:18.596461
21,Analyze Request for Quotation,Francois de Perrier,2020-01-12 10:00:00.000000,2020-01-12 10:30:11.710931
25,Send Request for Quotation to Supplier,Magdalena Predutta,2020-01-12 10:00:00.000000,2020-01-12 11:01:26.674703
2,Create Quotation comparison Map,Francois de Perrier,2020-01-12 10:30:11.710931,2020-01-12 11:04:13.752206
31,Create Request for Quotation,Clement Duchot,2020-01-12 09:00:00.000000,2020-01-12 12:45:15.370199
5,Create Quotation comparison Map,Francois de Perrier,2020-01-12 12:45:15.370199,2020-01-12 13:11:09.383705
14,Amend Request for Quotation,Nico Ojenbeer,2020-01-12 09:28:44.199044,2020-01-12 13:11:29.916195
7,Choose best option,Clement Duchot,2020-01-12 12:45:15.370199,2020-01-12 13:18:10.102941
18,Send Request for Quotation to Supplier,Karel de Groot,2020-01-12 10:00:00.000000,2020-01-12 13:41:35.334335
34,Create Purchase Requisition,Esmana Liubiata,2020-01-12 10:00:00.000000,2020-01-12 13:44:47.175906
36,Create Purchase Requisition,Clement Duchot,2020-01-12 13:18:10.102941,2020-01-12 14:26:36.787434
26,Amend Request for Quotation,Heinz Gutschmidt,2020-01-12 11:01:26.674703,2020-01-12 14:39:52.628324
3,Analyze Request for Quotation,Karel de Groot,2020-01-12 14:26:36.787434,2020-01-12 14:58:43.819075
15,Amend Request for Quotation,Clement Duchot,2020-01-12 14:26:36.787434,2020-01-12 14:59:18.657821
30,Analyze Purchase Requisition,Francis Odell,2020-01-12 09:00:00.000000,2020-01-12 15:24:50.002464
33,Create Purchase Requisition,Miu Hanwan,2020-01-12 09:28:44.199044,2020-01-12 15:37:47.864767
20,Analyze Request for Quotation,Magdalena Predutta,2020-01-12 11:01:26.674703,2020-01-12 16:37:42.332134
37,Create Purchase Requisition,Esmana Liubiata,2020-01-12 13:44:47.175906,2020-01-12 17:59:48.561594
17,Send Request for Quotation to Supplier,Karel de Groot,2020-01-12 14:58:43.819075,2020-01-12 18:50:04.042818
35,Create Purchase Requisition,Nico Ojenbeer,2020-01-12 13:11:29.916195,2020-01-12 19:11:12.432827
16,Send Request for Quotation to Supplier,Karel de Groot,2020-01-15 08:00:00.000000,2020-01-15 12:02:40.842931
19,Amend Request for Quotation,Esmana Liubiata,2020-01-15 08:00:00.000000,2020-01-15 12:05:02.720179
24,Send Request for Quotation to Supplier,Francois de Perrier,2020-01-15 08:00:00.000000,2020-01-15 12:05:42.316418
27,Analyze Request for Quotation,Karel de Groot,2020-01-15 12:02:40.842931,2020-01-15 12:31:18.574980
38,Create Purchase Requisition,Alberto Duport,2020-01-15 12:02:40.842931,2020-01-15 12:38:50.058778
41,Create Purchase Requisition,Alberto Duport,2020-01-15 12:38:50.058778,2020-01-15 13:15:18.480626
42,Create Purchase Requisition,Alberto Duport,2020-01-15 13:15:18.480626,2020-01-15 13:44:12.904016
32,Create Request for Quotation,Anne Olwada,2020-01-15 08:00:00.000000,2020-01-15 13:56:00.824213
43,Create Purchase Requisition,Alberto Duport,2020-01-15 13:44:12.904016,2020-01-15 14:20:28.259515
13,Analyze Request for Quotation,Magdalena Predutta,2020-01-15 08:00:00.000000,2020-01-15 14:23:58.591986
44,Create Purchase Requisition,Anne Olwada,2020-01-15 13:56:00.824213,2020-01-15 14:24:48.478471
45,Create Purchase Requisition,Alberto Duport,2020-01-15 14:20:28.259515,2020-01-15 14:51:21.202199
46,Create Purchase Requisition,Anne Olwada,2020-01-15 14:24:48.478471,2020-01-15 14:52:30.155600
12,Analyze Quotation Comparison Map,Alberto Duport,2020-01-15 14:51:21.202199,2020-01-15 15:16:44.370815
23,Send Request for Quotation to Supplier,Magdalena Predutta,2020-01-15 14:52:30.155600,2020-01-15 15:55:14.325501
40,Create Purchase Requisition,Esmana Liubiata,2020-01-15 12:05:02.720179,2020-01-15 16:11:10.784092
39,Create Purchase Requisition,Miu Hanwan,2020-01-15 12:02:40.842931,2020-01-15 16:55:31.172724
29,Create Request for Quotation,Esmana Liubiata,2020-01-15 16:11:10.784092,2020-01-15 17:04:52.307342
28,Create Request for Quotation,Anne Olwada,2020-01-15 14:52:30.155600,2020-01-15 21:57:13.137304
2,Analyze Quotation Comparison Map,Christian Francois,2020-01-16 08:00:00.000000,2020-01-16 08:32:08.558578
25,Create Quotation comparison Map,Francois de Perrier,2020-01-16 08:00:00.000000,2020-01-16 08:33:10.160556
31,Analyze Request for Quotation,Francois de Perrier,2020-01-16 08:33:10.160556,2020-01-16 09:05:40.606962
5,Analyze Quotation Comparison Map,Christian Francois,2020-01-16 08:33:10.160556,2020-01-16 09:10:20.068929
14,Analyze Request for Quotation,Francois de Perrier,2020-01-16 09:05:40.606962,2020-01-16 09:36:26.164107
7,Settle Conditions With Supplier,Francois de Perrier,2020-01-16 09:36:26.164107,2020-01-16 11:03:50.417059
18,Create Quotation comparison Map,Francois de Perrier,2020-01-16 11:03:50.417059,2020-01-16 11:33:31.465434
21,Send Request for Quotation to Supplier,Karel de Groot,2020-01-16 08:00:00.000000,2020-01-16 11:58:03.813645
22,Analyze Request for Quotation,Magdalena Predutta,2020-01-16 07:00:00.000000,2020-01-16 12:19:16.682771
34,Analyze Purchase Requisition,Francis Odell,2020-01-17 08:00:00.000000,2020-01-17 14:32:42.078058
36,Analyze Purchase Requisition,Francis Odell,2020-01-17 14:32:42.078058,2020-01-17 21:04:25.083076
26,Analyze Request for Quotation,Karel de Groot,2020-01-18 08:00:00.000000,2020-01-18 08:29:04.849469
30,Create Request for Quotation,Francis Odell,2020-01-18 08:00:00.000000,2020-01-18 08:55:23.479680
3,Send Request for Quotation to Supplier,Francois de Perrier,2020-01-18 08:00:00.000000,2020-01-18 12:05:31.802953
20,Send Request for Quotation to Supplier,Karel de Groot,2020-01-18 08:55:23.479680,2020-01-18 13:08:26.245928
15,Analyze Request for Quotation,Magdalena Predutta,2020-01-18 08:00:00.000000,2020-01-18 13:15:50.630936
33,Analyze Purchase Requisition,Francis Odell,2020-01-18 08:55:23.479680,2020-01-18 14:48:13.938330
17,Create Quotation comparison Map,Karel de Groot,2020-01-18 14:48:13.938330,2020-01-18 15:16:36.014462
37,Analyze Purchase Requisition,Francis Odell,2020-01-18 14:48:13.938330,2020-01-18 21:33:36.275544
35,Analyze Purchase Requisition,Francis Odell,2020-01-18 21:33:36.275544,2020-01-19 04:23:21.817178
50,Create Purchase Requisition,Anna Kaufmann,2020-01-19 08:00:00.000000,2020-01-19 08:23:59.576554
19,Analyze Request for Quotation,Francois de Perrier,2020-01-19 08:23:59.576554,2020-01-19 08:51:30.951667
51,Create Purchase Requisition,Anna Kaufmann,2020-01-19 08:23:59.576554,2020-01-19 08:53:03.199875
16,Create Quotation comparison Map,Karel de Groot,2020-01-19 08:23:59.576554,2020-01-19 08:55:36.113455
24,Create Quotation comparison Map,Magdalena Predutta,2020-01-19 08:23:59.576554,2020-01-19 08:56:21.816014
48,Create Purchase Requisition,Clement Duchot,2020-01-19 08:00:00.000000,2020-01-19 09:08:30.381888
27,Send Request for Quotation to Supplier,Francois de Perrier,2020-01-19 08:51:30.951667,2020-01-19 12:18:32.477501
47,Create Purchase Requisition,Penn Osterwalder,2020-01-19 07:00:00.000000,2020-01-19 13:05:14.944918
49,Create Purchase Requisition,Nico Ojenbeer,2020-01-19 08:00:00.000000,2020-01-19 13:56:40.093197
38,Analyze Purchase Requisition,Maris Freeman,2020-01-22 08:00:00.000000,2020-01-22 08:32:39.238286
41,Analyze Purchase Requisition,Maris Freeman,2020-01-22 08:32:39.238286,2020-01-22 09:04:56.415250
32,Analyze Request for Quotation,Karel de Groot,2020-01-22 09:04:56.415250,2020-01-22 09:35:04.854867
42,Analyze Purchase Requisition,Maris Freeman,2020-01-22 09:04:56.415250,2020-01-22 09:42:57.273078
43,Analyze Purchase Requisition,Maris Freeman,2020-01-22 09:42:57.273078,2020-01-22 10:15:43.566599
12,Choose best option,Esmana Liubiata,2020-01-22 10:15:43.566599,2020-01-22 10:48:04.986278
23,Create Quotation comparison Map,Francois de Perrier,2020-01-22 10:15:43.566599,2020-01-22 10:48:54.093446
45,Analyze Purchase Requisition,Maris Freeman,2020-01-22 10:15:43.566599,2020-01-22 10:49:32.865039
40,Analyze Purchase Requisition,Maris Freeman,2020-01-22 10:49:32.865039,2020-01-22 11:16:23.592535
39,Analyze Purchase Requisition,Maris Freeman,2020-01-22 11:16:23.592535,2020-01-22 11:41:54.400448
44,Create Request for Quotation,Clement Duchot,2020-01-22 09:42:57.273078,2020-01-22 13:39:11.380737
13,Send Request for Quotation to Supplier,Karel de Groot,2020-01-22 09:42:57.273078,2020-01-22 13:42:18.893275
29,Analyze Request for Quotation,Karel de Groot,2020-01-22 13:42:18.893275,2020-01-22 14:11:38.449900
55,Create Purchase Requisition,Anna Kaufmann,2020-01-22 13:42:18.893275,2020-01-22 14:13:32.949185
53,Create Purchase Requisition,Clement Duchot,2020-01-22 13:42:18.893275,2020-01-22 14:34:53.417833
28,Analyze Request for Quotation,Karel de Groot,2020-01-22 14:11:38.449900,2020-01-22 14:39:41.521571
56,Create Purchase Requisition,Anna Kaufmann,2020-01-22 14:13:32.949185,2020-01-22 14:44:06.553876
58,Create Purchase Requisition,Anna Kaufmann,2020-01-22 14:44:06.553876,2020-01-22 15:14:36.700753
57,Create Purchase Requisition,Clement Duchot,2020-01-22 14:34:53.417833,2020-01-22 15:30:00.027155
46,Create Request for Quotation,Anne Olwada,2020-01-22 10:15:43.566599,2020-01-22 15:55:09.565745
2,Choose best option,Clement Duchot,2020-01-22 15:30:00.027155,2020-01-22 16:00:08.940943
52,Create Purchase Requisition,Nico Ojenbeer,2020-01-22 10:15:43.566599,2020-01-22 16:19:39.640265
54,Create Purchase Requisition,Esmana Liubiata,2020-01-22 13:42:18.893275,2020-01-22 17:24:07.249794
25,Analyze Quotation Comparison Map,Anne Olwada,2020-01-22 15:55:09.565745,2020-01-22 17:25:56.182051
5,Choose best option,Esmana Liubiata,2020-01-22 17:24:07.249794,2020-01-22 17:50:58.730935
31,Amend Request for Quotation,Nico Ojenbeer,2020-01-22 16:19:39.640265,2020-01-22 20:14:41.502270
21,Create Quotation comparison Map,Magdalena Predutta,2020-01-23 08:00:00.000000,2020-01-23 08:30:07.775443
34,Create Request for Quotation,Miu Hanwan,2020-01-23 08:30:07.775443,2020-01-23 08:58:00.696861
60,Create Purchase Requisition,Elvira Lores,2020-01-23 08:30:07.775443,2020-01-23 09:28:44.169856
22,Send Request for Quotation to Supplier,Magdalena Predutta,2020-01-23 08:30:07.775443,2020-01-23 09:31:40.964920
18,Analyze Quotation Comparison Map,Anne Olwada,2020-01-23 08:00:00.000000,2020-01-23 09:53:09.836085
26,Send Request for Quotation to Supplier,Magdalena Predutta,2020-01-23 09:31:40.964920,2020-01-23 10:32:32.670902
14,Send Request for Quotation to Supplier,Karel de Groot,2020-01-23 08:00:00.000000,2020-01-23 12:15:43.866630
3,Create Quotation comparison Map,Karel de Groot,2020-01-23 12:15:43.866630,2020-01-23 12:44:26.290615
7,Create Purchase Order,Francois de Perrier,2020-01-23 08:00:00.000000,2020-01-23 12:57:11.403170
20,Create Quotation comparison Map,Karel de Groot,2020-01-23 12:44:26.290615,2020-01-23 13:13:14.608843
33,Create Request for Quotation,Maris Freeman,2020-01-23 12:57:11.403170,2020-01-23 13:23:12.658390
35,Create Request for Quotation,Tesca Lobes,2020-01-23 12:57:11.403170,2020-01-23 13:24:59.001853
50,Analyze Purchase Requisition,Maris Freeman,2020-01-23 13:23:12.658390,2020-01-23 13:52:12.225326
19,Amend Request for Quotation,Elvira Lores,2020-01-23 13:23:12.658390,2020-01-23 13:52:57.509682
51,Analyze Purchase Requisition,Maris Freeman,2020-01-23 13:52:12.225326,2020-01-23 14:19:24.965913
16,Analyze Quotation Comparison Map,Tesca Lobes,2020-01-23 13:52:12.225326,2020-01-23 14:25:31.144297
24,Analyze Quotation Comparison Map,Miu Hanwan,2020-01-23 13:52:12.225326,2020-01-23 14:27:35.468674
17,Analyze Quotation Comparison Map,Anne Olwada,2020-01-23 12:57:11.403170,2020-01-23 14:41:46.463709
59,Create Purchase Requisition,Kim Passa,2020-01-23 08:30:07.775443,2020-01-23 14:56:40.195183
30,Analyze Request for Quotation,Magdalena Predutta,2020-01-23 10:32:32.670902,2020-01-23 16:31:25.685610
15,Send Request for Quotation to Supplier,Francois de Perrier,2020-01-23 12:57:11.403170,2020-01-23 16:49:31.388847
48,Create Request for Quotation,Elvira Lores,2020-01-23 13:52:57.509682,2020-01-23 17:29:05.759833
62,Create Purchase Requisition,Miu Hanwan,2020-01-23 14:27:35.468674,2020-01-23 19:23:04.623643
61,Create Purchase Requisition,Tesca Lobes,2020-01-23 14:25:31.144297,2020-01-23 20:31:09.516591
27,Create Quotation comparison Map,Karel de Groot,2020-01-24 07:00:00.000000,2020-01-24 07:31:44.973011
47,Create Request for Quotation,Clement Duchot,2020-01-24 08:00:00.000000,2020-01-24 11:57:41.605046
49,Analyze Purchase Requisition,Heinz Gutschmidt,2020-01-25 08:00:00.000000,2020-01-25 08:30:56.453190
63,Create Purchase Requisition,Anne Olwada,2020-01-25 08:00:00.000000,2020-01-25 08:32:12.169565
67,Create Purchase Requisition,Anne Olwada,2020-01-25 08:32:12.169565,2020-01-25 08:58:58.100989
38,Create Request for Quotation,Heinz Gutschmidt,2020-01-25 08:32:12.169565,2020-01-25 09:00:10.798160
42,Create Request for Quotation,Heinz Gutschmidt,2020-01-25 09:00:10.798160,2020-01-25 09:30:18.377119
43,Create Request for Quotation,Heinz Gutschmidt,2020-01-25 09:30:18.377119,2020-01-25 10:01:46.316015
23,Analyze Quotation Comparison Map,Penn Osterwalder,2020-01-25 10:00:00.000000,2020-01-25 10:29:03.222050
45,Create Request for Quotation,Heinz Gutschmidt,2020-01-25 10:01:46.316015,2020-01-25 10:30:00.936256
44,Analyze Request for Quotation,Francois de Perrier,2020-01-25 10:30:00.936256,2020-01-25 10:57:30.205368
39,Create Request for Quotation,Heinz Gutschmidt,2020-01-25 10:30:00.936256,2020-01-25 10:58:27.628406
40,Create Request for Quotation,Penn Osterwalder,2020-01-25 10:29:03.222050,2020-01-25 10:58:56.876094
12,Settle Conditions With Supplier,Karel de Groot,2020-01-25 09:30:18.377119,2020-01-25 11:00:02.277286
13,Create Quotation comparison Map,Magdalena Predutta,2020-01-25 10:30:00.936256,2020-01-25 11:00:15.101707
64,Create Purchase Requisition,Esmana Liubiata,2020-01-25 08:00:00.000000,2020-01-25 12:00:59.662405
66,Create Purchase Requisition,Fjodor Kowalski,2020-01-25 08:00:00.000000,2020-01-25 12:33:22.636006
32,Amend Request for Quotation,Miu Hanwan,2020-01-25 09:00:00.000000,2020-01-25 13:29:19.106996
